gene_id,FPKM,tracking_id
LOC_Os01g01180,0,LOC_Os01g01180
LOC_Os01g01200,0,LOC_Os01g01200
LOC_Os01g01190,235331,LOC_Os01g01190
LOC_Os01g01210,0,LOC_Os01g01210
LOC_Os01g01150,4.69E+06,LOC_Os01g01150
LOC_Os01g01230,0,LOC_Os01g01230
LOC_Os01g01270,0,LOC_Os01g01270
LOC_Os01g01250,59859.7,LOC_Os01g01250
LOC_Os01g01280,2.95E+07,LOC_Os01g01280
LOC_Os01g01290,0,LOC_Os01g01290
LOC_Os01g01302,1.33E+07,LOC_Os01g01302
LOC_Os01g01240,7549.99,LOC_Os01g01240
LOC_Os01g01260,10549.8,LOC_Os01g01260
LOC_Os01g01320,0,LOC_Os01g01320
CUFF.8,3.62E+07,CUFF.8
LOC_Os01g01330,970511,LOC_Os01g01330
CUFF.9,1.63E+08,CUFF.9
CUFF.10,3.66E+07,CUFF.10
LOC_Os01g01360,2.01E+07,LOC_Os01g01360
LOC_Os01g01369,1.27E+08,LOC_Os01g01369
LOC_Os01g01380,1.46E+06,LOC_Os01g01380
CUFF.7,705787,CUFF.7
LOC_Os01g01400,328712,LOC_Os01g01400
